v.x,v.y,v.z,n.x,n.y,n.z,c.x,c.y,c.z,t.x,t.y
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0
0.03141075907812829,0.0,0.9995065603657316,0.03141075907812829,0.0,0.9995065603657316,0.5157053795390641,0.5,0.9997532801828658,0.0,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.009900990099009901,0.0
0.03134877712019301,0.001972297881325772,0.9995065603657316,0.03134877712019301,0.001972297881325772,0.9995065603657316,0.5156743885600965,0.5009861489406628,0.9997532801828658,0.009900990099009901,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.019801980198019802,0.0
0.031163075860858275,0.003936812003971143,0.9995065603657316,0.031163075860858275,0.003936812003971143,0.9995065603657316,0.5155815379304292,0.5019684060019856,0.9997532801828658,0.019801980198019802,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0297029702970297,0.0
0.03085438817815584,0.005885789328195163,0.9995065603657316,0.03085438817815584,0.005885789328195163,0.9995065603657316,0.5154271940890779,0.5029428946640976,0.9997532801828658,0.0297029702970297,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.039603960396039604,0.0
0.030423932321343345,0.007811538130902163,0.9995065603657316,0.030423932321343345,0.007811538130902163,0.9995065603657316,0.5152119661606717,0.503905769065451,0.9997532801828658,0.039603960396039604,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.04950495049504951,0.0
0.02987340710303106,0.009706458361358798,0.9995065603657316,0.02987340710303106,0.009706458361358798,0.9995065603657316,0.5149367035515156,0.5048532291806794,0.9997532801828658,0.04950495049504951,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0594059405940594,0.0
0.029204985194744616,0.011563071635122164,0.9995065603657316,0.029204985194744616,0.011563071635122164,0.9995065603657316,0.5146024925973723,0.5057815358175611,0.9997532801828658,0.0594059405940594,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.06930693069306931,0.0
0.02842130455238309,0.01337405074780664,0.9995065603657316,0.02842130455238309,0.01337405074780664,0.9995065603657316,0.5142106522761916,0.5066870253739033,0.9997532801828658,0.06930693069306931,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.07920792079207921,0.0
0.027525458005412253,0.015132248592212114,0.9995065603657316,0.027525458005412253,0.015132248592212114,0.9995065603657316,0.5137627290027061,0.507566124296106,0.9997532801828658,0.07920792079207921,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0891089108910891,0.0
0.026520981050879647,0.016830726364690907,0.9995065603657316,0.026520981050879647,0.016830726364690907,0.9995065603657316,0.5132604905254399,0.5084153631823455,0.9997532801828658,0.0891089108910891,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.09900990099009901,0.0
0.025411837900422948,0.01846278094943573,0.9995065603657316,0.025411837900422948,0.01846278094943573,0.9995065603657316,0.5127059189502114,0.5092313904747179,0.9997532801828658,0.09900990099009901,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.10891089108910891,0.0
0.02420240583533769,0.020021971372615407,0.9995065603657316,0.02420240583533769,0.020021971372615407,0.9995065603657316,0.5121012029176688,0.5100109856863076,0.9997532801828658,0.10891089108910891,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.1188118811881188,0.0
0.022897457931447825,0.021502144221956006,0.9995065603657316,0.022897457931447825,0.021502144221956006,0.9995065603657316,0.5114487289657239,0.510751072110978,0.9997532801828658,0.1188118811881188,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.12871287128712872,0.0
0.021502144221956006,0.022897457931447825,0.9995065603657316,0.021502144221956006,0.022897457931447825,0.9995065603657316,0.510751072110978,0.5114487289657239,0.9997532801828658,0.12871287128712872,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.13861386138613863,0.0
0.02002197137261541,0.02420240583533769,0.9995065603657316,0.02002197137261541,0.02420240583533769,0.9995065603657316,0.5100109856863078,0.5121012029176688,0.9997532801828658,0.13861386138613863,0.01
0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.1485148514851485,0.0
