v.x,v.y,v.z,n.x,n.y,n.z
-0.104655577,0.060422607,0.992671305,-0.104655577,0.060422607,0.992671305
-0.104100552,0.00042932,0.994566685,-0.104100552,0.00042932,0.994566685
-0.05242223,0.089938673,0.994566712,-0.05242223,0.089938673,0.994566712
-0.05242223,0.089938673,0.994566712,-0.05242223,0.089938673,0.994566712
-0.104100552,0.00042932,0.994566685,-0.104100552,0.00042932,0.994566685
-0.051861973,0.029942364,0.998205285,-0.051861973,0.029942364,0.998205285
-0.398112584,-0.229850523,0.888073819,-0.398112584,-0.229850523,0.888073819
-0.351509902,-0.202944439,0.913922504,-0.351509902,-0.202944439,0.913922504
-0.357986756,-0.142370569,0.922808812,-0.357986756,-0.142370569,0.922808812
-0.314113042,-0.053400089,0.947882602,-0.314113042,-0.053400089,0.947882602
-0.357986756,-0.142370569,0.922808812,-0.357986756,-0.142370569,0.922808812
-0.309468505,-0.114574075,0.943982005,-0.309468505,-0.114574075,0.943982005
-0.303654473,-0.17531508,0.936514059,-0.303654473,-0.17531508,0.936514059
-0.309468505,-0.114574075,0.943982005,-0.309468505,-0.114574075,0.943982005
-0.351509902,-0.202944439,0.913922504,-0.351509902,-0.202944439,0.913922504
-0.351509902,-0.202944439,0.913922504,-0.351509902,-0.202944439,0.913922504
-0.309468505,-0.114574075,0.943982005,-0.309468505,-0.114574075,0.943982005
-0.357986756,-0.142370569,0.922808812,-0.357986756,-0.142370569,0.922808812
-0.2169937,0.125280748,0.968100443,-0.2169937,0.125280748,0.968100443
-0.266950771,0.036129455,0.963032683,-0.266950771,0.036129455,0.963032683
-0.215157979,0.064523556,0.974445358,-0.215157979,0.064523556,0.974445358
-0.212518629,0.003525364,0.977150656,-0.212518629,0.003525364,0.977150656
-0.215157979,0.064523556,0.974445358,-0.215157979,0.064523556,0.974445358
-0.263791702,-0.024982429,0.964256095,-0.263791702,-0.024982429,0.964256095
-0.314113042,-0.053400089,0.947882602,-0.314113042,-0.053400089,0.947882602
-0.263791702,-0.024982429,0.964256095,-0.263791702,-0.024982429,0.964256095
-0.266950771,0.036129455,0.963032683,-0.266950771,0.036129455,0.963032683
-0.266950771,0.036129455,0.963032683,-0.266950771,0.036129455,0.963032683
-0.263791702,-0.024982429,0.964256095,-0.263791702,-0.024982429,0.964256095
-0.215157979,0.064523556,0.974445358,-0.215157979,0.064523556,0.974445358
-0.204871441,-0.118282641,0.971615618,-0.204871441,-0.118282641,0.971615618
-0.209085509,-0.057485996,0.976206233,-0.209085509,-0.057485996,0.976206233
-0.25471685,-0.147060916,0.95576797,-0.25471685,-0.147060916,0.95576797
-0.303654473,-0.17531508,0.936514059,-0.303654473,-0.17531508,0.936514059
-0.25471685,-0.147060916,0.95576797,-0.25471685,-0.147060916,0.95576797
-0.259450336,-0.086348745,0.961888464,-0.259450336,-0.086348745,0.961888464
-0.212518629,0.003525364,0.977150656,-0.212518629,0.003525364,0.977150656
-0.259450336,-0.086348745,0.961888464,-0.259450336,-0.086348745,0.961888464
-0.209085509,-0.057485996,0.976206233,-0.209085509,-0.057485996,0.976206233
-0.209085509,-0.057485996,0.976206233,-0.209085509,-0.057485996,0.976206233
